TABLETS
Microsoft Surface,Apple iPad Air,Amazon Kindle Fire HDX,Samsung Galaxy Tab S2,Apple iPad Pro,Apple iPad Mini,Google Nexus,Asus ZenPad,Lenovo Yoga Tablet,Acer Iconia Tab,Amazon Fire
8.53,8.18,8.13,8.10,8.07,7.70,7.63,7.48,7.23,7.13,6.05,5.90
2.4,1.5,2.5,1.3,2.3,1.5,2.3,2.3,1.3,1.3,1.3
6811,4547,3082,4113,5416,3107,2890,2858,1123,1371,1158
365,560,619,462,604,563,462,407,909,477,390
1000,128,64,64,128,128,32,64,16,16,8
0.58823,1.04166,1.21951,1.72413,0.625,1.51515,1.07526,1.51515,0.69444,0.90909,1.47058
0.03335,0.06716,0.05717,0.10995,0.03547,0.09827,0.05973,0.09071,0.05137,0.04174,0.03694,0.07407
0,1,1,0,1,1,1,0,0,0,0
1,0,0,1,0,0,0,1,1,1,1
12.3,9.7,8.9,9.7,12.9,7.9,9,8,10,10.1,7
4990464,3145728,4096000,3686400,5595136,3145728,3145728,3145728,1024000,1024000,614400
5,1.2,1.2,2.1,1.2,1.2,1.6,5,8,2,0.3
8,8,8,8,8,5,8,8,8,5,2
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,1
