ALL-IN-ONE PC
Dell XPS 27,Apple iMac,MSI Gaming,HP Sprout,Lenovo A740,Acer Aspire U5,Dell XPS 18,Acer Aspire Z3,HP ENVY Recline,Lenovo C560
9.95,9.78,9.73,9.40,9.33,9.18,8.85,8.78,8.35,7.73
5,5,7,7,7,5,5,5,3,2
2.9,2.7,2.6,3.2,2.8,2.6,2.7,2.0,2.9,2.7
6371,6371,8268,9612,4272,4228,3413,5502,4128,2988
1,1,1,1,1,1,0.33,0.5,0.33,0.33
0.033,0.052,0.111,0.076,0.047,0.05,0.033,0.033,0.033,0.033
2,0,1,0,0,2,0,1,0,1
1,1,1.128,1,1,2,1,1,1,1
8,8,16,8,8,8,8,16,8,4
1,1,1,1,1,1,1,1,1,1
4,4,4,2,4,2,2,2,2,2
0,0,1,2,0,3,1,3,3,4
2,0,2,1,1,1,0,2,1,1
3,1,2,2,2,2,0,2,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
4,7,1,7,2,3,4,3,7,2
1,1,2,1,1,1,1,1,1,1
3,3,3,3,5,3,3,3,3,5
1,0.25,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
