Crank Radio
Eton FRX,Eton Scorpion,Sangean MMR,Midland ER,Oregon Scientific WR,Ambient Weather WR,WeatherX WR,Kaito Voyager Pro,Midland ER200,WeatherX WR-383R
9.93,9.43,9.18,9.00,8.25,8.03,7.70,7.43,6.88,6.78
13,9,6,3.5,1.5,4.5,1,3.5,1,4
0.1818181818,0.25,0.3636363636,0.2,0.1333333333,0.2352941176,0.012987013,0.5714285714,0.2222222222,0.0952380952
15.5,12.5,5,9.75,4.5,7,34,1.5,8.25,5.25
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,0,0,1,0,1
100,95,100,95,80,75,90,90,85,75
90.3,82.9,82,87.6,78.1,83.3,76.2,76.7,84.9,80.5
100,95,90,85,85,85,100,90,85,80
100,95,85,97,90,80,95,100,90,90
95,95,90,90,75,80,80,85,85,70
1,1,0,0,0,0,1,0,0,1
1,1,1,1,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,0
4,4,3,0,0,2,0,0,0,0
1,0,1,1,1,0,0,0,1,0
1,0,1,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,0.25,1,1,0.25
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,0,0,1
1,1,0,0,0,1,0,0,0,0
