Floor Standing Speakers
Klipsch Reference,BIC Acoustech,JBL Studio,Boston Acoustics,Cerwin-Vega,Fluance XL,Definitive Technology,Polk TSX,Pioneer,Infinity Primus
9.40,8.73,8.03,7.53,7.50,7.38,6.58,6.35,6.03,5.95
8,7,7,5,6,5,1,3,2,4
7,5,6,8,7,5,8,7,5,7
7,8,8,7,4,1,1,1,8,4
8,4,6,8,8,6,8,1,1,6
24,23,40,25,20,20,30,25,20,0
98,98,91,89,89.8,89,91,90,87,93
150,250,110,200,100,200,150,0,0,0
0.0066666667,0.1,0,0.0666666667,0,0.0125,0.05,0,0,0
600,600,440,0,200,270,250,0,130,0
5,3,5,5,5,5,5,5,5,0
3,3,5,4,4,4,4,3,4,4
8,8,8,6.5,8,8,5.25,6.5,5.25,6.5
0,6.5,4,3.5,6.5,6.5,0,0,5.25,4
1,0,0.75,1,1,1,1,1,1,0.75
5,8,5,5,3,50,5,5,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,0,0
