Home Subwoofers
BIC Acoustech,BIC America,JBL ES,Klipsch Reference,Velodyne Impact,Polk Audio,Yamaha YST,Monoprice,Pioneer
8.30,7.75,7.73,7.35,6.83,6.73,5.75,5.53,5.25
7,8,8,2,5,5,5,1,2
5,5,7,8,5,2,8,1,7
0.0454545455,0.04,0.04,0.037037037,0.03125,0.03125,0.0357142857,0.02,0.0263157895
200,200,150,125,140,225,200,250,150
34.21,34.21,44.21,34.21,44.21,54.21,5.79,44.21,34.21
250,150,400,200,150,150,100,150,50
1000,475,700,450,250,300,0,200,100
12,12,12,10,10,10,8,12,8
0.0001713457,0.000200012,0.0001917031,0.0002382142,0.0003628573,0.0001923086,0.0005964865,0.0001977261,0.0004065027
0.023255814,0.0238095238,0.0256410256,0.025477707,0.0333333333,0.0249376559,0.053361793,0.0239808153,0.0495049505
1,1,0,1,1,1,0,1,1
1,1,0,0,1,1,0,1,0
8,5,5,5,2,5,2,1,1
5,5,1,2,2,3,2,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,0,1
