Home Theater In A Box System
Onkyo HT-S7700,Onkyo HT-S5800,Yamaha YHT-5920UBL,Yamaha YHT-4920UBL,​Samsung HT-H6500WM,Samsung HT-J5500W,Samsung HT-J4500W
9.68,9.38,9.28,8.33,7.70,7.40,6.90
90,90,80,80,75,65,65
0.018,0.018,0.02,0.02,0.007,0.005,0.005
50,50,25,25,20,20,20
125,125,170,170,120,180,180
0.015,0.015,0.02,0.02,0.007,0.005,0.005
50,50,25,25,20,20,20
0.0125,0.0125,0.02,0.02,0.007,0.005,0.005
20,20,25,25,20,20,20
100,85,90,70,65,65,55
7,4,6,4,1,0,0
2,1,1,1,1,1,1
2,2,2,0,0,0,0
3,3,4,4,0,0,0
3,3,3,1,1,1,1
6,7,4,3,2,2,2
1,1,1,1,1,1,1
1,0,1,0,1,1,0
1,1,1,1,1,1,1
1,1,1,1,0,0,0
1,1,1,0,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,1,0,0,0
1,0,0,0,1,1,1
0,0,0,0,1,1,1
2,2,2,2,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,1,1,1
