Portable Speakers
Fugoo Style,UE Boom,Sol Republic Deck,Altec Lansing Life Jacket,Braven BRV-1,JBL Charge 2,Beats Pill,Bose SoundLink Mini,Jawbone Mini Jambox,UE Roll
9.63,9.35,8.60,8.48,8.03,7.98,7.83,7.73,7.60,7.25
95,95,90,90,85,85,75,95,85,85
0.017,0.01,0.017,0,0.01,0.013,0.004,0,0.017,108
20,20,20,0,20,20,220,0,20,20
1,1,1,0,1,1,0,0,0,1
4,2,2,2,2,2,4,2,2,2
2,2,1,1,1,2,0,2,1,1
40,15,10,16,12,12,15,10,10,9
0.2857,0.2857,0,0,0.5,0.25,0.2857,0,0.5,0.1818
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0.5,1
1,1,1,1,1,0,0,0,0,1
1,1,0,1,1,0,0,0,0,1
1,1,0,1,1,0,1,1,0,1
0.0872143729,0.0190372338,0.0664054718,0.035882163,0.0130154102,0.0064707747,0.0098765432,0.0099186669,0.0120772947,0.022249911
1,0.8333333333,1.3888888889,0.5,1.3157894737,0.7692307692,1.4705882353,0.6666666667,1.7857142857,1.4285714286
33,50,300,33,30,30,30,30,33,65
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0
0,1,1,1,0,1,0,0,1,1
1,1,1,1,1,1,1,0,1,0
0,0,0,1,1,0,1,0,0,0
1,2,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0
1,1,0,1,0,1,1,1,1,1
