Sound Bar
Vizio,LG,Samsung,Sharp,Sony,Yamaha,Polk,Pioneer,SONOS,Bose
9.28,8.28,7.95,7.25,6.98,6.75,6.03,5.73,5.48,5.28
9,6,5,4,5,5,6,3,7,5
9,7,5,4,5,7,6,7,7,8
9,5,5,8,8,5,4,1,9,2
9,4,1,4,1,1,7,1,5,3
5,4,6,6,0,6,3,6,9,5
3.0,4.1,2.1,2.1,2.1,0,3.1,2.1,0,0
0,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,0,0
45,30.7,66,41,41.1,74,0,65,0,0
33,25,37,27.3,39,49,0,31,0,0
1,1,1,2,3,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1,0,1,0,1
1,0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,1,0
8,8,8,5,2,8,5,4,0,2
81,111,57,120,35,36,34,44,0,104
0,6,6,8,6,0,8,6.5,0,0
0,1,0,0,1,0,1,0,1,0
1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
