Wireless Speakers
JBL Authentics L8,Polk Woodbourne,Sonos PLAY:5,Bose SoundTouch 20,Sonos PLAY:3,Denon HEOS 5,Sony SRS-X7,Harman Kardon Aura,Samsung Radiant360 R5,Amazon Echo
8.48,8.23,7.60,7.50,7.43,7.35,6.90,5.95,5.68,5.28
8,7,8,5,8,5,4,1,2,1
4,4,6,0,3,4,3,3,2,2
2,2,3,0,2,2,1,2,1,1
2,2,3,0,1,2,2,1,1,1
0,0,0,0,0,1,2,0,0,0
4,7,1,5,1,7,8,8,8,5
1,1,8,3,8,6,3,1,8,5
1,1,0,1,0,0,1,1,1,1
1,1,0,0,0,1,1,1,1,0
1,1,1,1,0,1,1,1,0,0
0,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0.0006100165,0.0030005701,0.003359312,0.0080389729,0.0048452429,0.0028864194,0.014712806,0.0010306102,0.0019242796,0.0095653505
0.0613496933,0.0571428571,0.0714285714,0.1428571429,0.1754385965,0.1515151515,0.2380952381,0.2,0.1333333333,0.5952380952
0,1,0,2,0,0,0,0,2,0
1,3,1,1,1,2,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
