Sound Machine
HoMedics Deep Sleep,Lectro Fan,Adaptive Sound Technologies,Sound Oasis S-650-01,Sharper Image Sound Soother,Sound Oasis BST-100,Marpac Dohm,HoMedics SoundSpa,Sound Oasis S-550-05,Conair SU1W
8.45,7.43,7.28,6.88,6.53,6.20,6.08,6.05,5.83,5.65
8,8,6,4,0.7,0.4,5,3,1,3
8,6,6,2,0.7,7,7,4,5,2
39.21,43.21,35.21,39.21,52.21,38.21,62.21,34.21,34.21,41.21
12,20,10,12,20,10,2,6,6,10
1,0,1,1,1,1,0,1,1,1
0,0,1,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1
1,0,1,1,1,2,0,1,1,1
1,0,1,1,1,1,0,1,1,1
1,0,1,0,1,1,0,1,1,1
1,0,0,1,1,0,0,1,0,1
4,1,1,1,1,3,1,1,1,1
2,0,3,7,10,1,0,0,1,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1
0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,1,0
0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0.0020044579,0.0117392938,0.0039506173,0.0219847865,0.0033133867,0.064,0.0096183441,0.0246153846,0.0038290674,0.0181818182
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,1,0
