Carpet Cleaner
Hoover SteamVac Max Extract,Rug Doctor,Hoover SteamVac SpinScrub,Hoover Power Scrub,Kenmore Multi-Surface,BISSELL DeepClean Premier,Oreck Revitalize,Shark Sonic Duo,Dirt Devil Enhance,BISSELL PowerLifter
9.05,8.30,8.18,7.73,6.93,6.55,6.45,6.25,5.65,5.20
100,85,100,85,75,70,65,75,90,60
100,100,88,33,67,25,50,0,50,33
10,11,12,10,10,6.2,7.5,0.8,6,6.25
1,1,1,1,1,1,1,0,1,1
90,80,80,90,80,100,80,70,70,80
95,85,90,90,70,65,85,100,70,90
13,12,11.25,11.25,12,12,12.5,9.4,11,11
0.0457665904,0.04,0.05,0.0552486188,0.0378071834,0.0409836066,0.0625,0.0555555556,0.0980392157,0.0609756098
0.0113765643,0.0118343195,0.0113122172,0.0115473441,0.0118343195,0.0113895216,0.0116686114,0.0134952767,0.0120192308,0.0115740741
20,28,20,20,20,22,26,22,20,20
4.6,4,4.2,4,3,5,2,0,3,3
1,0,0,1,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0,1
9,7.7,8,8,9,9,8,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0
2,2,1,2,1,3,4,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,0,1,0,1
