CANISTER VACCUUM
Dyson Cinetic,Bissell C4 Cyclonic,Samsung Motion Sync,Eureka ReadyForce Total,Kenmore Progressive,Miele C1 Olympus,Hoover Quiet Performance,Electrolux UltraFlex,Dyson Ball,Panasonic
9.63,9.53,9.25,9.03,8.77,8.68,8.43,8.32,8.30,7.65
100,100,85,80,90,65,80,85,80,60
1,0,1,1,1,1,1,1,1,1
90,80,90,90,95,95,85,75,80,95
85,75,80,75,85,100,85,95,90,95
90,100,90,80,85,90,95,85,85,85
0.011235955,0.014084507,0.013888889,0.014084507,0.012658228,0.013157895,0.013888889,0.012195122,0.0125,0.012987013
2,2.2,2,2,1.1,2,1.1,1.4,0.8,1.5
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
5,5,5,5,1,5,2,5,5,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1
1,0,1,1,0,0,1,0,1,1
