Central Air Conditioning Units
Dave Lennox Collection,Frigidaire iQ Drive,Trane,American Standard Platinum ZV,Carrier Infinity Series,Bryant Preferred Series,Coleman Echelon Series,Carrier Performance,Amana,Goodman,Rheem Prestige Series
9.23,8.45,7.53,7.48,7.40,6.65,6.30,5.90,5.58,5.55,5.53
25,20,22,21,21,16.5,18,18,18,18,17
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,0,0,1
1,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0
0.0169491525,0.0175438596,0.0181818182,0.0181818182,0.0153846154,0.0138888889,0.0144927536,0.0136986301,0.014084507,0.014084507,0.014084507
1,1,1,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,0
0.0212765957,0.027027027,0.0208333333,0.0243902439,0.0322580645,0.0256410256,0.025,0.0285714286,0.0263157895,0.0263157895,0.0434782609
0.0285714286,0.0454545455,0.0333333333,0.03125,0.0277777778,0.0322580645,0.0238095238,0.0322580645,0.0285714286,0.0285714286,0.0322580645
0.0256410256,0.0454545455,0.0303030303,0.0344827586,0.0344827586,0.0322580645,0.0294117647,0.0322580645,0.0285714286,0.0285714286,0.0227272727
10,10,12,12,10,10,10,10,50,50,10
10,10,10,10,10,10,10,10,10,10,10
1,1,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,0
0,0,1,1,1,1,0,1,1,1,1
