Chainsaws
Stihl,Craftsman,Homelite,Echo,Poulan,Worx,Poulan Pro,Husqvarna,Kobalt,Black & Decker
8.95,8.75,8.48,8.28,8.28,7.15,7.10,6.90,5.60,5.28
95,90,80,80,90,85,75,70,70,70
0.2808988764,0.2074688797,0.2070393375,0.2309468822,0.3058103976,0.1488095238,0.1831501832,0.1358695652,0.0615763547,0.0467508181
0.3194888179,0.2525252525,0.1956947162,0.1773049645,0.2481389578,0.1650165017,0.176056338,0.1666666667,0.0837520938,0.0474383302
0.0135135135,0.0138888889,0.0136986301,0.0126582278,0.012987013,0,0.0133333333,0.012987013,0,0
0.011627907,0.0106382979,0.0105263158,0.0107526882,0.0108695652,0.0112359551,0.010989011,0.0107526882,0.0126582278,0.0128205128
0.010989011,0.0111111111,0.010989011,0.010989011,0.0108695652,0.0114942529,0.010989011,0.0107526882,0.0125,0.014084507
30.1,46,42,30.5,40,0,40,38.2,0,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,0,1,0,1
1,1,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
0,1,0,1,0,1,0,0,1,0
1,1,1,1,1,0,1,1,0,0
0,1,1,1,1,0,1,1,0,0
1,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,1,0
0,1,1,0,1,1,1,1,1,0
0,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,0,0
0,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1,0
1,1,1,1,0,0,0,0,1,1
1,0,1,1,1,0,1,1,0,1
1,0,1,1,0,0,0,1,0,0
16,18,14,14,18,18,18,18,12,8
