Binoculars
Celestron Nature,Vanguard Spirit,Leupold BX-1 McKenzie,Nikon Action,Bushnell Legend,Bushnell Excursion HD,Pentax,Leupold BX-1,Vanguard Endeavor,Nikon ACULON,Celestron SkyMaster,Vanguard ORROS,Leupold BX-1 Rogue,Nikon PROSTAFF,Bushnell Marine
9.83,9.70,9.65,9.38,9.33,9.28,9.28,8.93,8.75,8.33,8.23,7.70,7.33,7.20,7.15
8,8,8,8,8,5,5,5,2,5,5,2,2,5,2
12,10,8,7,8,10,9,8,10,24,15,10,8,12,7
96,111,107,163,113,114,117,118,114,80,77,100,110,82,127
0.3333333333,0.4761904762,0.3333333333,0.2040816327,0.4761904762,0.5,0.4,0.303030303,0.4,0.25,0.0763358779,0.4761904762,0.0970873786,0.2,0.1315789474
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
8,5,5,8,8,5,8,5,5,2,5,2,0.4,5,0.1
0.0276243094,0.04361099,0.0452488688,0.0354609929,0.04048583,0.0425531915,0.0568181818,0.0588235294,0.0387596899,0.0925925926,0.0208333333,0.0488758553,0.0333333333,0.0358422939,0.0277777778
16,16,17.7,17.3,15.2,15.5,16,15.5,16.5,13,18,18,20.7,15.5,18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
