Chemistry Sets
CHEM C3000,CHEM C2000,CHEM C1000,Elements of Science,Spectacular Science,Mind Blowing Science,CHEM C500,Kids First Chemistry Set,Chemistry 60,CHEM C100 Test Lab
9.93,9.58,8.75,7.63,7.58,7.13,6.53,5.48,4.45,3.88
333,250,125,100,25,11,28,25,60,8
1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,1,1,0,0
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,0,1,0,1,0
1,1,1,0,1,0,0,1,0,0
1,1,0,0,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0
1,1,1,1,0,0,1,1,1,0
1,1,0,0,0,0,0,1,0,0
1,1,1,0,1,1,1,0,0,0
1,1,0,0,1,0,1,0,1,0
1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,0
1,0,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0
0,1,0,1,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,0,1,1,0
1,1,1,0,1,0,1,1,0,0
1,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,0,0,0,0,0,1,0,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
