Kids Microscope
Omano OM117L,My First Lab Duo-Scope,TK2 Scope,Omano OM115LD,Levenhuk 50L NG,Omano OM118-M3,Kids Microscope MI-1100STD,Levenhuk 2L NG,Celestron Digital Microscope Kit,Dino-Lite,Amoeba Digital,Celestron Portable LCD,Levenhuk 3S NG,Konuscience Zoom 1200x,MicroPro Elite
9.60,9.18,9.15,9.13,8.35,6.20,6.18,6.00,5.73,5.70,5.13,4.75,4.73,3.98,2.70
96.25,92.08,88.75,92.08,78.75,74.16,67.08,85.83,80.41,71.26,35,40.83,28.33,7.08,24.58
95,90,80,80,65,100,90,95,60,50,5,40,50,5,10
100,95,95,95,80,100,75,85,75,60,50,75,70,5,5
95,85,80,90,80,100,95,75,60,50,20,10,75,5,50
100,95,100,95,60,0,0,80,75,80,85,65,0,0,0
100,95,80,95,85,0,0,80,75,100,50,50,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,1,1,1,0,0,0
6,6,7,6,7,0,6,6,0,0,0,0,6,8,0
360,360,360,360,600,360,360,600,560,220,190,44,200,100,40
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
95,100,100,95,90,90,90,10,25,50,50,90,90,75,25
1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,0,0,1,0,1,0,0,0,0
1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
100,100,75,100,40,80,95,75,10,90,50,60,5,10,10
1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0.5,1,1,0.5,50,5,5,3,2,2,2,2,3,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,0,1,1,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
