Telescopes for Beginners
Celestron NexStar 130SLT,Orion StarSeeker,Celestron Omni,Celestron SkyProdigy 130,Levenhuk SkyMatic 135,Celestron NexStar 4SE,iOptron SmartStar R80,Celestron NexStar 90SLT,Orion SkyQuest,Celestron Cometron,Orion StarBlast 6i,Celestron Explorascope,Levenhuk Strike 950 PRO,Orion SpaceProbe,Bushnell NorthStar Starfinder
8.40,8.15,8.08,7.85,7.70,7.68,7.53,7.23,7.10,6.95,6.60,6.20,5.93,5.33,5.20
90,90,90,100,70,80,70,60,90,80,80,50,50,70,20
130,130,102,130,130,102,80,90,114,114,150,60,90,76,114
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0
5,5,6.5,5,5,13,5,14,7.9,3.95,5,12,13.9,9.2,7
307,154,240,307,260,241,150,213,228,269,300,142,180,152,225
650,650,660,650,650,1325,400,1250,900,450,750,700,1250,700,675
0.111,0.1,0.04,0.111,0.1,0.04,0.1,0.111,0.1,0.1,0.1,0.125,0.16,0.1,0.25
25,23,25,25,25,25,25,25,25,20,25,20,20,25,20
70,90,90,40,80,60,80,50,80,80,60,70,40,70,30
90,70,90,90,80,90,80,90,60,90,20,100,70,60,80
0.0555555556,0.0465116279,0.0724637681,0.0555555556,0.0377358491,0.0909090909,0.1298701299,0.0833333333,0.0568181818,0.119047619,0.0425531915,0.1923076923,0.0354609929,0.0602409639,0.04
1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
1,1,0,1,1,1,1,1,0,0,1,0,0,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,90,100,70,100,70,90,50,100,90,80,80,70,80,50
4000,42000,0,4000,42900,40000,10000,4000,0,0,14000,0,0,0,20000
1,1,0,1,1,1,1,1,0,0,1,0,0,0,1
1,1,0,1,0,1,1,1,0,0,0,0,0,0,1
1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,2,50,2,1,2,1,2,1,2,50,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,0,1,0,1,0,1,1,0
0,1,0,0,1,0,0,0,1,0,1,0,1,1,0
