Train Set
Lionel Pennsylvania Flyer,Lionel 2-4-2 LionChief,Lionel Polar Express,Bachmann Chattanooga,Lionel Thomas and Friends,Bachmann Rail Chief,Life-Like Trains Rail Master,Life-Like Trains Salute To America,Bachmann Thoroughbred,Bachmann Thomas' Fun
8.50,8.25,7.63,7.48,7.25,6.60,5.88,5.25,4.85,4.60
8,7,5,5,7,6,5,5,5,7
1,1,2,1.5,1,1.5,1.5,1.5,1.5,1.5
5,5,4,6,3,5,4,6,4,5
50,50,72,47,50,47,45,47,47,56
40,40,55,38,40,38,38,38,38,38
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0
1,1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
0,0,1,48,1,36,0,0,0,1
0,0,0,36,0,24,6,0,0,0
0,0,0,48,0,48,62,0,0,0
0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,1
0,1,0,1,0,2,1,1,2,2
1,0,0,1,0,0,0,1,0,1
0,0,2,0,2,0,0,0,0,0
1,0,0,1,0,1,1,1,0,0
1,1,0,1,0,1,1,1,1,0
0,1,0,0,0,0,0,1,0,0
2,2,4,2,1,2,2,2,2,4
8,8,12,12,8,12,12,12,12,12
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
