RC Drones
DJI Phantom 2 Vision+,DJI Phantom 2,Parrot AR.Drone,Walkera QR,3DR IRIS+,Blade 350 QX2,Walkera Scout X4,Quanum Nova,Storm Drone 4,QAV400 RTF
10.00,9.65,9.00,8.90,8.70,8.58,7.75,7.50,7.08,5.75
33.5,33.5,15,45,40,0,0,25,0,0
25,25,12,25,16,10,25,15,8,9
2000,1000,165,3280,3280,0,3280,3280,984,3280
1,1,1,0.5,0.5,1,0.5,0.5,0.5,0
14,14,14,0,0,2,0,0,0,0
1080,1080,1080,0,0,1080,0,0,0,0
110,120,92,0,0,120,0,0,0,0
10.58,7.05,0,7.05,7.05,8.82,14.11,0,8.82,0
1,0,0,0,1,0,1,1,0,0
1,1,0,1,1,1,1,1,0,0
1,1,0,1,1,1,1,0,0,0
4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,0
1,1,0,1,0,1,0,0,0,0
1,1,0,1,1,1,1,1,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
0.3333333333,0.3333333333,0.6666666667,1,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,0
1,0,0,1,0,0,0,0,0,0
1,1,0,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,1,0,0,0,0
1,1,1,0.02,0.25,0.08,0.02,0.08,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0
