Remote Control Airplanes
Sport Cub S,Delta Ray,Super Cub S,F4U Corsair,P-51D Mustang,Stratocam,Champ,Duet,Night Vapor,Ember 2
9.68,9.48,8.65,8.05,7.48,6.80,6.10,5.75,5.55,5.43
7,8,6,9,8,6,5,4,0.4,2
7,7,9,3,0.4,8,4,5,7,6
7,5,6,7,0.4,9,8,8,9,6
0.0294117647,0.0138888889,0.0112359551,0.0285714286,0.0222222222,0.0149253731,0.0222222222,0.0227272727,0.0434782609,0.0476190476
250.0,382.0,565.0,264.0,250.0,395.0,438.0,383.0,591.0,503.0
323,895,826,310,318,406,295,352,209,321
1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,0,1,1,0,0
1,1,0,1,1,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,0,0
1,0,1,1,1,1,1,0,1,1
1,0,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0
4,4,3,4,4,5,3,3,3,3
4,4,4,4,4,4,4,3,4,4
1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1
