Remote Control Boats
Pro Boat Recoil,Traxxas Blast,Aquacraft Miss Seattle,Radio Ranger,Atomik Barbwire,Pro Boat Impulse,Pro Boat Blackjack,UDI RC Power Venom,Balaenoptera Musculus
9.85,9.75,9.60,9.38,9.28,8.50,8.25,7.95,7.40
100,90,95,90,90,80,70,85,75
95,95,90,85,90,80,90,80,80
25,20,20,18,25,15,10,16,18
25,0,0,20,25,25,0,15,25
10,12,6,20,10,6,6,11,20
1,0.1666,0.5,0.2,0.666,1,0.5,0.666,0.5
400,450,900,350,450,400,400,400,300
1,0,0,0,1,1,0,1,0
2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,0.027
0,0,0,1,1,0,1,0,0
1,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1
0,0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1
95,90,95,85,95,95,80,90,75
1,1,0,1,1,1,1,1,1
17,23.75,18,34,16.5,17,9,12.8,22
4.5,5.75,8.5,8,4.75,5.125,3.25,3.5,11
4,3.25,4,6,4.5,7.5,0.5,3.5,8
1.15,1.75,1.07,4,0.92,1,0.5,0.7,4
0,1,1,1,1,1,1,0,0
1,1,1,1,1,3,1,1,2
0.08,0.08,0.25,2,0.25,0.08,0.08,0.25,0.08
1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0
1,1,0,0,0,1,1,0,0
1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0
