CAR VACCUUM
Black & Decker Auto Pivot Vac,Metropolitan,Dirt Devil Extreme Power,Carrand Auto-Vac,Black & Decker DustBuster,Hoover Air,Metro Vac N Go,Amor All Car Vac,Vapamore,Car and Driver
9.65,9.03,8.85,8.60,8.55,8.38,8.38,7.93,6.90,6.58
95,100,85,75,90,75,70,80,85,70
100,90,85,100,75,85,85,75,50,75
3,5.5,6.5,4.5,3.5,7.5,5,3.5,0.5,2.5
0.083333333,0.25,0.142857143,0.142857143,0.166666667,0.111111111,0.25,0.071428571,0.058823529,0.0625
1,0,1,1,1,1,0,1,1,1
0,0,1,0,0,0,0,1,1,0
3,1,2,1,3,2,1,3,1,3
3,3,2,1,2,2,3,2,1,3
195,138,0,150,197,0,138,36,120,100
0.333333333,0.333333333,0.27027027,0.212765957,0.5,0.476190476,0.333333333,0.555555556,0.212765957,1.25
1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0
100,75,75,85,85,75,65,65,65,65
0.012048193,0.011627907,0.011904762,0.011764706,0.011904762,0.012195122,0.011627907,0.011904762,0.012048193,0.012345679
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1
1,1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,1,0,1,0
2,1,3,1,2,2,1,1,50,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,1,0,0,0,0
1,0,0,0,1,1,0,1,0,0
