Remote Control Cars
Traxxas Rustler XL-5,Redcat Racing Volcano EPX,Traxxas Slash 2WD,Redcat Racing Lightning EPX Drift,ECX Ruckus 1/18 4WD Monster Truck,Maisto Rock Crawler Extreme,Kid Galaxy Morphibians Rover,Silverlit Mercedes Benz SLS AMG,Maisto Baja Beast,Chicco Billy FunWheels
9.50,9.28,9.00,8.70,8.13,7.75,7.50,7.28,7.08,5.25
35,20,30,15,21,5,0,4.5,12,0
25,19,23,11,21,5,2,4,10,2
90,90,80,75,70,75,65,60,70,40
1,1,1,1,1,1,0,0,1,0
0,1,0,1,1,1,1,0,1,1
10,10,10,7,9,8,10,6,7,6
15,10,15,10,9,40,30,90,16,90
1,1,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,0,0
2296.875,1799.377,4214.784,887.216,474.97843,783.675,196,300,783.675,526.5
3.7,0,4.8,0,1.68,3.5,2.1,2.4,8,2
50,50,50,50,50,80,100,40,50,70
1,1,1,1,1,0,0,1,1,0
1,1,1,1,1,1,0,0,1,0
0.08,0.25,0.08,0.25,0.002,0.08,0.16,0,0.08,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,0,0,0,0,0
