Remote Control Helicopters
WL Toys V262 Cyclone,Hubsan X4,Walkera Super CP,Syma X3,Hero iRocket,Estes Syncro,ESky E-500,Syma S-107G,Griffin HELO TC,Helizone Combat Fighter
9.33,9.13,9.08,8.33,8.05,7.85,7.55,6.78,5.80,5.75
8,7,2,6,5,5,8,9,0.2,7
7,7,6,5,1,1,7,2,2,0.2
8.5,7.5,6.5,8,5,4.5,11,8,6.5,7.5
0.0105263158,0.0166666667,0.0222222222,0.0166666667,0.0222222222,0.0333333333,0.0076923077,0.02,0.02,0.0181818182
850,240,240,350,130,100,800,150,180,150
1,1,1,0,1,0,1,0,0,0
1,1,1,0,1,0,1,1,0,0
1,1,1,1,1,1,1,0,0,0
5,1,5,1,1,1,0,0,0,1
0,0,0,1,0,0,0,1,1,0
1,1,0,0,0,1,1,1,1,1
4,4,6,4,4,4,4,3.5,3.5,3.5
0,0,0,0,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0.5,0
1,1,1,1,1,1,1,1,1,1
8,5,7,8,3,4,1,9,9,7
