Baby Car Seats
Chicco KeyFit,Britax BOB B-Safe,Combi Shuttle,Peg Perego Primo Viaggio,Evenflo Embrace,Safety 1st onBoard,Orbit Baby G3,Chicco NextFit Zip,Graco Contender,Evenflo Triumph
9.48,9.38,9.28,9.23,9.20,8.53,8.20,8.08,8.08,7.98
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
30,30,35,35,35,35,30,65,65,65 
30,32,33,32,30,32,32,49,49,50
6,3.5,5,9,4,7,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,0,1,0,1,0,1,1,1,1
0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,1,1,1
50,100,100,100,100,50,100,25,100,100
1,1,1,2,0.25,1,2,1,1,0.25
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,1,0,0
