Bluetooth Car Kit
Motorola Roadster Pro,Jabra FREEWAY,Motorola Roadster 2,SuperTooth HD,Parrot MINIKIT +,Parrot MINIKIT Neo,Motorola SonicRider,Jabra DRIVE,SuperTooth Crystal,Plantronics K100
9.63,9.33,9.00,8.83,8.38,8.00,7.70,6.95,6.75,6.63
2,2,2,2,2,2,1,1,1,1
4,2,2,2,1,1.5,1,1.5,1.5,2
2,3,1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,0,1,1,0,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
13,14,20,20,12,10,45,20,20,17
6,5.7,3,5.95,24,24,20,4,5.95,2
1,1,1,0,1,0,0,0,1,0
1,1,1,0,1,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
