Car Battery Charger
Schumacher SpeedCharge,Black and Decker Smart Battery,NPower Automatic,Associated Equipment,Schumacher Wheeled,CTEK,Duracell Powerpack,Peak,Battery Tender Plus,Clore Jump Starter,Clore Booster PAC
9.63,9.40,8.13,7.78,7.08,6.95,5.35,5.15,5.10,4.93,4.70
100,110,75,100,200,0,280,450,0,425,400
1,1,1,1,0,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,1,1
1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,1
1,1,1,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,1,0
1,1,1,1,0,0,0,1,0,0,0
5,5,1,1,3,5,1,0.25,10,1,1
0,0,0,0,0,0,3,1,0,1,1
2,10,8,2,2,1.5,0,0,1.5,0,0
30,40,12,12,40,7,0,0,0,0,0
14.5,10.5,15,15,14.5,22,0,0,22,0,0
1.5,1,2,2,1,3,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,1,0,0
1,1,1,0,0,1,0,0,1,0,0
1,1,0,1,1,1,0,0,0,0,0
1,0,0,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0,0
1,1,1,1,0,1,1,0,0,1,0
1,1,1,0,0,1,1,0,1,1,1
0.0847457627,0.0892857143,0.2840909091,0.0769230769,0.0366300366,0.5882352941,0.03125,0.0833333333,0.3333333333,0.0555555556,0.0555555556
7,3,6,6,6,1.5,3,3,1.5,3.5,3.5
1,1,1,1,1,0,0,1,0,0,1
1,1,0,1,1,0,1,1,0,1,1
0,0,0,0,0,0,1,1,0,0,1
0.1111111111,0.0909090909,0.0869565217,0.1,0.101010101,0.1176470588,0.0714285714,0.0740740741,0.2040816327,0.0613496933,0.0546448087
0.1020408163,0.1428571429,0.125,0.1086956522,0.0854700855,0.2857142857,0.1111111111,0.1315789474,0.3076923077,0.0709219858,0.0877192982
0.1851851852,0.0769230769,0.25,0.1818181818,0.0526315789,0.5263157895,0.0833333333,0.0684931507,0.3472222222,0.1960784314,0.2272727273
