Car Inverter
Whistler,Cobra,Wagan Tech,PowerBright,Duracell,Targus,Tripp Lite,Pyle,CyberPower
9.20,8.58,8.38,8.30,8.23,7.50,7.13,6.08,5.63
1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0
60,60,60,60,60,60,60,60,60
1,1,1,1,1,1,1,1,1
95,104,105,100,100,100,100,100,100
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
200,200,150,175,175,100,150,150,150
400,400,450,350,260,150,300,300,200
90,90,90,90,90,90,90,90,90
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1
0.1941747573,0.3076923077,0.1666666667,0.2463054187,0.253164557,0.2105263158,0.5714285714,0.2100840336,0.1666666667
0.2590673575,0.3076923077,0.3636363636,0.3484320557,0.3846153846,0.3472222222,0.2666666667,0.5,0.3636363636
0.5524861878,4,0.5714285714,1.1111111111,1.0752688172,0.9433962264,0.1739130435,0.1492537313,0.6666666667
1.2987012987,1.7857142857,1,0.8333333333,1.6666666667,2.2727272727,0.7692307692,0.7299270073,2.2222222222
1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1
1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,2
1,1,1,0,1,0,1,1,1
