Car Speakers
Pioneer A,JBL GTO,Pioneer D,Alpine Type-S,Polk db,Kenwood KFC,Infinity Reference X,Kicker KS,Rockford Fosgate Prime,JL Audio Evolution C2
9.80,8.53,7.75,7.53,6.95,6.78,6.55,6.33,5.93,5.60
8,7,6,3,5,1,3,2,6,1
8,7,7,6,7,3,8,4,3,4
8,7,8,8,5,5,8,5,5,7
5,7,8,4,7,3,5,5,8,5
0.035,0.022,0.036,0.015,0.028,0.016,0.022,0.033,0.021,0.018
38,21,30,23,22,22,21,21,20,22
8,3,6,8,1,6,0.2,3,0.4,0.7
93,94,90,90,93,88,94,92,90,93
100,200,80,85,125,125,100,150,65,70
650,300,360,260,300,650,300,300,130,225
4,3,4,4,4,4,3,4,4,4
1,1,1,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0
1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0,1,1
1,1,1,0,1,1,1,1,1,0
