Car Subwoofer
Pioneer Champion,Infinity Reference,JBL GTO,Kicker CompRT,Alpine Type-S,Polk DXi,JL Audio W1v3,Rockford Fosgate Punch,MTX Audio FPR,Sundown Audio E V2
9.50,9.20,9.00,8.88,8.33,7.58,7.50,7.25,7.20,6.83
100,95,95,90,90,85,90,85,85,80
0.05,0.0434782609,0.0434782609,0.04,0.0384615385,0.037037037,0.0454545455,0.037037037,0.0454545455,0
150,400,400,500,200,200,200,250,150,0
96,96,93,87.1,86.5,88,86.1,86,83,88.7
600,300,350,800,500,360,300,400,400,500
2000,1200,1400,1600,1500,720,600,800,800,0
35,25,28.3,32.7,34,30,26.21,27.2,29.4,35.8
0.1449275362,0.1584786054,0.1584786054,0.2666666667,0.1508295626,0.1650165017,0.1848428835,0.15625,0.3007518797,0.1538461538
0.8,0.8,1,2,1.1111111111,1.1363636364,0.9090909091,0.9803921569,1.1904761905,1
0.6666666667,0.5,0.5714285714,0.5714285714,0.6849315068,0.6666666667,0.5714285714,0.5586592179,0,0.6666666667
1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,5,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,1,1
0,0,0,0,1,1,1,1,1,1
