In-Dash Navigation
Pioneer 8100 NEX,Pioneer 6100 NEX,Kenwood DNX772BH,Kenwood DNX572BH,Pioneer 5100 NEX,Clarion NX605,Alpine W957HD,Clarion NX405,Alpine W940,Jensen VX7020
9.88,9.50,8.88,8.75,8.70,8.33,7.95,6.70,5.88,5.63
7.9,7.9,10,10,7.9,11,6,11,6,11
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,0,1,0.5
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1
1,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,0,0
1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,0
7,6.2,7,6.2,6.2,6.2,7,6.2,6.1,6.2
2,2,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
