BIKE GPS
Garmin Edge 510,Garmin Edge 1000,Garmin Edge 810,Magellan Cyclo 505,Garmin Edge 500,O-Synce Navi2Coach,Sigma Sport Rox 10.0,CatEye Stealth Evo+,Garmin Edge 200,CatEye Stealth Evo
9.63,9.35,9.15,8.90,8.60,8.20,7.75,7.65,5.28,5.23
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0
90,90,90,85,90,85,80,85,90,85
100,90,90,85,90,85,80,80,95,80
20,15,17,12,18,14,13,10,14,10
0.5,0.25,0.2857,0.2222,0.5,0.3846,0.4545,0.5555,0.4762,0.5555
1.8,3,2.6,3,1.8,2,1.8,2,1.7,2
1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
100,100,100,88,100,81,81,88,100,88
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
