Radar Detectors
Escort Passport Max 2,Escort Passport 9500ix,Whistler CR90,Beltronics Pro 500,Cobra SPX 7800BT,Cobra iRadar,Beltronics STi Magnum,Escort RedLine,Beltronics RX65,Escort Passport 8500 X50
9.95,9.53,9.03,8.88,8.60,8.25,7.63,7.48,7.23,5.73
100,95,90,85,85,80,85,85,80,75
3,3,4,3,5,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0
1,1,0,1,1,1,1,0,0,0
1,1,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1
1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
