Rear-View Cameras
TadiBrothers Wireless License Plate Camera,Rear View Safety Wireless,Yada Digital Wireless Backup Camera,Boyo VTC 424,QuickVu Backup Camera,Pyle PLCM34WIR,Peak Wireless Back-Up Camera,iBall Wireless Trailer Hitch Camera,Focalprice Wireless Car Backup Camera,AGPtek Wireless Backup Camera
9.28,9.45,8.70,8.20,7.65,7.60,6.90,6.73,6.70,6.20
120,130,110,130,127,120,110,90,110,92
1,1,1,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,0,0,0
1,0,1,1,1,1,0,0,1,1
75,75,75,75,100,75,75,100,75,50
65,70,50,67,60,82,197,100,26,160
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,1,0,0
786432,112320,0,130560,76800,153600,112320,0,250920,130560
5,5,4.3,4.3,3.5,3.5,4.3,2.5,3.5,4.3
1,1,0,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,50,0.25,0.5,0.08
1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,1,0
