Marine Speakers
Polk MM,Fusion FR,Kicker KM,Infinity 612m,Sony XS,JL Audio M,Rockford Fosgate Punch,Pioneer Nautica,JBL MS,Wet Sounds SW
9.65,9.25,9.18,8.90,8.88,8.70,8.63,8.55,8.25,8.10
90,96,95,95,91,89,89,89,85,82
97,91,86,85,83,73,89,86,87,86
85,80,95,83,84,79,89,90,89,93
0.025,0.0142857143,0.0285714286,0.02,0.0285714286,0.0181818182,0.0188679245,0.0333333333,0.02,0.025
25,22,21,20,26,25,22,30,20,20
92,90,90,92,91,89.5,87.5,91,91,90
100,100,65,75,70,75,75,30,60,100
200,200,195,225,160,225,150,160,180,200
2,2,2,1,1,2,2,1,1,2
2,1,2,1,1,1,2,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,0,0
1,1,1,0,1,1,1,0,0,0
1,1,0,0,0,1,1,0,0,0
0,0,1,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,0
0,1,1,0,1,1,0,1,0,0
0,1,0,0,0,0,0,1,0,1
1,3,1,1,1,2,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,0,0,0,1,0,1,0,0,0
