Chest Freezers
Avanti,Amana,Danby,Frigidaire,Kenmore,Magic Chef,Idylis,Midea Electric,GE,Haier
7.48,7.35,5.88,5.43,5.43,5.13,4.68,4.60,4.45,3.48
0.0050505051,0.0046511628,0.0044642857,0.0045454545,0.0045454545,0.0040160643,0.0046296296,0.0041666667,0.004587156,0.0041666667
0.04,0.0384615385,0.037037037,0.0384615385,0.0384615385,0.0333333333,0.0384615385,0.0384615385,0.0384615385,0.0357142857
0.2079002079,0.2036659878,0.2040816327,0.1960784314,0.1960784314,0.2298850575,0.1923076923,0.1912045889,0.1923076923,0.1788908766
1,1,0,0,0,0,0,0,0,0
5.2,5.3,5.5,5.1,5.1,6.9,5,5,5,5
308,308,336,308,308,420,308,308,308,308
5,8,11.2,10,10,7.9,17.8,13,5,8
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0
0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
