Circular Saws
Makita Magnesium,DeWALT,SKIL,Milwaukee,RIDGID,Bosch,Porter-Cable,Hitachi,Black & Decker,Craftsman
9.90,9.65,9.30,8.88,8.80,8.78,8.40,7.83,7.70,7.63
0.0943396226,0.1136363636,0.099009901,0.0961538462,0.0909090909,0.1,0.0884955752,0.0952380952,0.1162790698,0.1123595506
0.1,0.1052631579,0.099009901,0.1052631579,0.1025641026,0.1052631579,0.1025641026,0.0952380952,0.1,0.1025641026
0.08,0.085106383,0.0833333333,0.0740740741,0.0784313725,0.0769230769,0.0816326531,0.0869565217,0.0869565217,0.0754716981
0.1052631579,0.1111111111,0.1081081081,0.1081081081,0.1081081081,0.1,0.1025641026,0.1052631579,0.1052631579,0.1052631579
8.5,9,6,9,10,9,7,8,7,8
1,1,1,1,1,0.5,1,1,1,1
1,2,2,1,1,2,2,0.1,1,0.1
2,1,1,2,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,0
1,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1
90,100,100,100,70,80,90,90,70,90
0.5,0.5625,0.4375,0.4375,0.375,0.4375,0.375,0.375,0.4375,0.375
0.75,0.90625,0.9375,0.8125,0.75,0.875,0.8125,0.84375,0.8125,0.8125
56,57,51,50,56,56,45,55,45,56
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,0,1
5800,5200,5300,5800,5800,6200,5600,5800,5500,5000
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,3,1,5,3,1,3,5,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,1,0
0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,1,0,0,1,1
