Coffee Makers
Cuisinart Extreme Brew,Mr. Coffee SJX,Melitta 10-Cup Coffee Maker,Mr. Coffee FTX,Hamilton Beach Black Ice 12-Cup,DeLonghi 14-Cup,Cuisinart 12-Cup Programmable,Zojirushi Fresh Brew,KRUPS Breakfast Set,Black & Decker DCM2160B
9.83,9.15,8.73,8.48,8.28,8.25,8.13,7.53,6.90,6.73
12,12,10,12,12,14,12,10,12,12
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,0
1,1,0,1,1,1,0,0,0,1
1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,0,1,1,0,1
1,1,1,0,1,0,1,0,0,0
1,1,1,1,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,0,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1
0,1,1,0,0,0,1,1,0,0
0,1,1,0,0,0,0,0,0,0
3,1,1,1,1,1,3,1,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
