Compact Microwave
RCA,Samsung,GE,Oster,Haier,Kenmore,Magic Chef,Panasonic,Sharp,Insignia
9.43,9.40,9.38,9.35,9.30,9.30,9.18,9.13,8.40,8.33
100,97,95,98,96,94,96,93,93,83
100,100,100,100,100,100,87,87,100,73
11,10,10,9,10,11,11,10,11,11
0,0,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1
1,1,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
92,89,96,95,91,94,93,97,80,88
85,85,85,93,85,85,85,85,85,83
95,83,100,95,95,95,95,75,0,75
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,1,0,0
1,1,0,1,1,0,0,1,0,0
0,1,1,0,0,1,1,0,1,1
0,1,1,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,2,1,1,1,1
1,10,1,1,2,2,8,5,5,1
2,3,3,2,2,2,3,3,3,2
1,1,1,1,1,1,0,1,1,1
1,1,1,0,1,1,1,1,1,1
