Cordless Drills
Makita,DeWalt,Hitachi,Milwaukee,Rockwell,Porter-Cable,Bosch,Ryobi,Skil,Black & Decker
9.70,9.28,9.10,8.85,8.55,8.50,8.25,7.95,7.48,7.08
2000,2000,1800,1850,2000,1600,1700,1600,1400,1500
21,15,22,24,18,23,18,24,20,24
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3,2,1.75,3,1.5,0,2,0,2.125,0
0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5
1,1,1,1,1,1,1,1,1,1
0.2,0.2857142857,0.303030303,0.2040816327,0.2702702703,0.2857142857,0.2666666667,0.3225806452,0.3333333333,0.2857142857
0.1052631579,0.1052631579,0.1098901099,0.1290322581,0.1111111111,0.1142857143,0.1290322581,0.1020408163,0.1176470588,0.125
0.1136363636,0.1388888889,0.1298701299,0.1265822785,0.1282051282,0.1290322581,0.1351351351,0.1408450704,0.1136363636,0.1111111111
0.4,0.2857142857,0.3448275862,0.3333333333,0.3333333333,0.2777777778,0.3333333333,0,0,0.3333333333
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
18,20,18,18,20,20,18,18,18,20
0.033,0.029,0.025,0.0166,0.0166,0.025,0.0166,0.0166,0.0166,0.004
2,2,2,2,2,2,2,2,1,2
0,1,0,1,1,1,0,0,1,0
3,3,50,5,3,3,1,3,1,2
1,3,2,3,1,2,1,3,1,2
1,1,0,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
