Curling Irons
Amika Digital Titanium Pro,Conair Infiniti Pro Nano Tourmaline,Remington T-Studio Pearl,BaBylissPro Nano Titanium,Revlon Perfect Heat,Farouk Chi Arc,Remington Instant Curls,Remington Wrap to Waves,Hot Tools Spring Iron,Conair Infiniti Pro Curl Secret
9.23,9.08,8.65,8.53,8.25,8.20,8.08,8.08,8.00,7.13
100,95,75,90,100,70,75,80,90,60
1.25,0.75,1,1,1.25,1,0.75,0.75,1,0
450,500,410,430,430,410,350,350,400,400
0.005,0.0035087719,0.0037735849,0.0045454545,0.0035714286,0.0055555556,0.0037037037,0.0037735849,0.0033333333,0.002739726
5,5,9,5,10,23,30,30,30,2
1,1,0,1,1,1,1,0,1,0
7.1,6.0,5.7,7.8,8.0,10.7,6.0,5.9,5.9,6.0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1
1,1,1,0,0,1,0,0,0,0
1,0,1,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,0
1,5,4,2,1,1,2,2,1,5
1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1
