Deep Fryers
Waring Professional,Breville Smart Fryer,Cuisinart Compact,T-Fal EZ Clean,Presto Dual Basket ProFry,Waring Professional Mini,Hamilton Beach,De'Longhi Roto,Presto GranPappy,Presto DualDaddy
9.53,9.10,8.60,8.53,8.45,8.18,7.98,7.10,6.45,5.83
100,85,83,77,75,99,82,75,80,75
0.0666666667,0.1111111111,0.1,0.0666666667,0.1,0.05,0.0666666667,0.0714285714,0.0666666667,0.05
0.125,0.333,0.5,0.166,0.5,0.25,0.4,0.077,0.2,0.125
1800,1800,1000,1700,1800,1500,1500,1500,1500,1500
1,1,1,1,1,1,1,1,0,0
3.8,3.8,1.1,3.5,2.8,1.9,1.9,1,1.4,1.9
2.3,2.3,0.75,2.7,6.3,1.3,3.1,2.2,3.1,4.2
100,80,90,90,90,80,80,70,60,60
86,70,85,97,100,90,75,60,100,75
3,1,1,1,2,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,0,0,1,1,1,0,0
1,1,0,0,0,0,0,1,0,0
1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
0,0,1,1,1,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,1
0.0086956522,0.0111111111,0.007518797,0.0086956522,0.0040322581,0.0091743119,0.0071428571,0.0078740157,0.0027777778,0.0043859649
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,3,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,0,1,1
