BASS HEADPHONE
V-MODA Crossfade M-100,Sennheiser Momentum,Sony MDR-1R,Beats Executive,beyerdynamic Custom One Pro,Bowers & Wilkins P5,Yamaha Pro 500,Denon AH-D600,Sony MDR-MA900,Monster Inspiration,Denon AH-D400,Sennheiser HD 650
9.78,9.53,8.98,8.33,8.20,7.53,7.50,7.38,7.25,6.95,6.08,5.75
100,90,85,70,75,85,70,65,60,50,40,60
0.2,0.0625,0.25,0,0.2,0.1,0.05,0.2,0.2,0,0.2,0.1
30000,22000,80000,0,35000,20000,20000,45000,40000,0,37000,39500
103,110,105,0,116,115,106,108,104,0,115,102
50,0,40,40,0,40,50,50,70,0,50,0
0.03125,0.05555,0.04166,0,0.0625,0.0384,0.04347,0.04,0.0833,0,0.015625,0.0033
1200,200,1500,0,100,50,1000,1800,700,0,1300,500
1,1,1,1,1,1,1,1,0,1,1,0
1,1,0,1,1,1,1,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,1,0
1,1,1,1,0,1,1,1,0,1,1,0
1,1,1,1,0,1,1,1,0,1,1,0
1,1,1,1,0,1,1,1,0,1,1,0
1,1,1,0,1,1,1,1,1,0,0.5,0
1,1,1,1,0,1,1,1,0,1,1,0
0.102040816,0.149253731,0.117647059,0.083333333,0.098039216,0.147058824,0.076923077,0.081300813,0.147058824,0.083333333,0.090909091,0.108695652
1,2,2,2,0,2,1,2,0,2,0,0
1,2,1,1,2,2,1,1,1,1,1,2
6.5,3.9,4,4.6,4.9,4,10,10,10,1.2,3,9.8
1,0,0,1,0,1,1,0,0,1,0,0
2,2,1,1,2,2,1,1,1,1,1,2
1,1,1,1,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1
