Dehumidifiers
Keystone KSTAD70B,Comfort-Aire BHD-701-H,Friedrich D70BP,Danby DDR50B3WP,Haier HM70EP,Frigidaire FAD704DWD,DeLonghi DD50P,Sunpentown SD-65E,GE ADER50LQ,EdgeStar DEP501EW
9.53,9.48,9.10,8.95,8.68,8.63,8.43,8.25,7.35,7.30
70,70,70,50,70,70,50,65,50,50
10.4,12.7,16.2,0,18,16.3,12.7,21,17.5,15.9
3800,2500,1300,3000,200,1400,1000,1300,1500,3000
0.0188679245,0.0170940171,0.0187617261,0.02,0.0169491525,0.0187265918,0.0182815356,0.0170940171,0.0169491525,0.0170940171
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,1,1,1,1,1
1,1,0,0,0,0,1,0,0,1
0,1,1,0,1,1,1,0,0,0
1,1,1,2,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,0.25
5,5,5,0,5,4,4,5,0,0
0.025,0.0251889169,0.0212765957,0.0235294118,0.021691974,0.0217391304,0.025,0.02,0.023255814,0.0277777778
0.0884955752,0.0925925926,0.0714285714,0.0847457627,0.0833333333,0.0884955752,0.0653594771,0.0666666667,0.0909090909,0.0946969697
0.064516129,0.0649350649,0.0606060606,0.0621118012,0.0666666667,0.0621118012,0.0806451613,0.0555555556,0.0649350649,0.0650195059
0.0429184549,0.0429184549,0.0395256917,0.0411522634,0.0429184549,0.0403225806,0.0411522634,0.0384615385,0.0423728814,0.0432338954
0.0013888889,0.0013888889,0.0013404826,0.0019417476,0.0013333333,0.0013422819,0.0014814815,0.0014084507,0.0018867925,0.0019230769
