Digital Grill Thermometers
iGrill2,Ivation,Maverick ET-735,Maverick ET-733,Coal Range,iGrillmini,Oregon Scientific Grill-Right Bluetooth,Oregon Scientific Grill-Right Talking,Weber,Polder
9.63,8.75,8.65,8.63,8.60,8.38,8.33,8.03,7.85,7.78
1,0.5,0.5,0.5,1,0.5,1,1,1,0.5
22,0.032,0.032,0.032,40,22,0.032,0.032,0.032,0.032
572,572,572,572,450,572,572,572,392,392
0.3333333333,0.3333333333,0.3333333333,0.2,0.25,0.25,0.25,0.1428571429,0.125,0.1666666667
0.0615384615,0.0377358491,0,0.0408163265,0.125,0.0571428571,0.0634920635,0,0,0.04
150,300,160,300,0,150,150,330,250,0
100,89,93,89,93,100,50,89,89,92
2,2,2,2,1,1,1,1,2,1
4,2,4,2,1,1,2,1,2,1
3.75,6,7,6,3,3.75,7,6,5.75,3.75
48,30,42,39,54,48,44,40,4.8,43
1,1,1,1,0,1,1,1,0,0
1,0,0,1,0,1,1,1,1,1
1,0,1,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0
1,0,1,0,1,1,1,0,0,0
1,1,0,1,0,0,1,1,1,0
1,0,0,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,1,0.25,0.25,1,0.25,1,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
