Dishwasher
GE Profile,LG Studio,Electrolux IQ-Touch,Bosch 800 Serie,KitchenAid,Samsung DW80F800,Bosch 800 Plus Serie,Bosch 500 Serie,Bosch Ascenta Serie,Kenmore,GE Cafe,GE,Frigidaire Professional,Maytag Stainless Steel Tub,LG Semi-Integrated,Maytag,LG EasyRack,Bosch 300 Serie,Samsung DW80F600,Samsung,Whirlpool Gold Serie,Whirlpool Visible Front Console,Frigidaire
9.30,9.03,8.93,8.90,8.85,8.80,8.75,8.63,8.60,8.53,8.50,8.43,8.33,8.25,8.20,8.10,8.05,8.00,7.90,7.88,7.65,7.30,6.88
110,131,113,135,150,148,135,135,115,141,110,110,195,111,141,111,141,135,148,0,152,120,105
0.0303030303,0.037037037,0.0322580645,0.037037037,0.0322580645,0.0344827586,0.037037037,0.037037037,0.0333333333,0.03125,0.0303030303,0.0303030303,0.0322580645,0.03125,0.037037037,0.03125,0.037037037,0.037037037,0.03125,0.03125,0.0322580645,0.0333333333,0.03125
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,7,9,6,6,6,6,5,6,6,5,4,7,5,5,5,5,4,4,4,5,5,5
1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0
1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
12,19,24,24,4,24,24,24,9,24,12,12,24,24,19,24,19,24,9,0,24,8,6
1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0
1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
95,95,100,90,85,90,90,80,85,90,80,75,95,80,80,80,80,75,75,70,80,80,80
16,14,12,15,14,15,15,15,14,12,16,16,14,12,14,12,14,15,15,15,15,10,14
2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0238095238,0.0238095238,0.0212765957,0.0227272727,0.0217391304,0.0217391304,0.0238095238,0.0227272727,0.02,0.02,0.0217391304,0.0208333333,0.0204081633,0.02,0.0208333333,0.0212765957,0.02,0.0217391304,0.0208333333,0.02,0.0196078431,0.0185185185,0.0181818182
3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,2,2
1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0
0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
0.0294117647,0.0303030303,0.0285714286,0.0303030303,0.0294117647,0.0303030303,0.0303030303,0.0303030303,0.0303030303,0.0303030303,0.0294117647,0.0294117647,0.0285714286,0.0294117647,0.0303030303,0.0294117647,0.0303030303,0.0303030303,0.0303030303,0.0285714286,0.0294117647,0.0294117647,0.0285714286
0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0416666667,0.0434782609,0.0434782609,0.0416666667,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0434782609,0.0416666667
0.0416666667,0.0416666667,0.0416666667,0.0434782609,0.0416666667,0.0416666667,0.0434782609,0.0434782609,0.0454545455,0.0384615385,0.0416666667,0.0416666667,0.0416666667,0.04,0.0416666667,0.037037037,0.0416666667,0.0434782609,0.0416666667,0.0416666667,0.0416666667,0.0416666667,0.04
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
1,5,5,5,5,5,5,5,5,1,1,1,1,10,5,10,5,5,5,5,1,1,1
1,50,50,50,50,50,50,50,50,1,1,1,1,10,50,10,50,50,50,50,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
