Donut Makers
Babycakes DN-95,Sunbeam,Babycakes DNM-30,Betty Crocker,Holstein Housewares,Brentwood,Tasty Treats,Chef Buddy
9.88,8.63,8.53,8.45,7.90,7.38,6.85,4.40
8,8,5,8,5,2,5,5
1,1,1,1,0.5,1,1,1
6,6,4,7,6,7,12,7
0.3333333333,0.25,0.5,0.5,0.3636363636,0.2,0.3333333333,0.3333333333
0.6666666667,0.2,0.5,0.6666666667,0.4444444444,0.3636363636,0.6666666667,0.5714285714
100,100,100,66,100,66,66,33
1,1,1,0,1,0,1,0
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1
1,1,2,1,1,1,0.5,1
95,60,50,75,70,50,35,0
4,5,4,5,9,4,3,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,1,1,1,0.5,1,1,0
1,0,1,1,1,1,0,0
1,0,1,1,1,1,0,0
