Dryers
Samsung DV457,LG Smart ThinQ,Whirlpool Smart Front Load,Electrolux Wave-Touch,Samsung DV50,GE RightHeight,LG Steam Dryer,Electrolux IQ-Touch,Whirlpool Duet,Bosch WTVC3300US,Whirlpool Cabrio,Maytag Maxima XL,Kenmore Sensor Dry,Kenmore 68102,Frigidaire Affinity,Amana,Maytag Bravo XL
9.78,9.70,9.68,9.63,9.23,9.03,8.85,8.60,8.10,7.88,7.78,7.70,7.60,7.48,7.40,6.98,6.93
7.5,7.3,7.4,8,7.4,8.3,7.3,8,7.4,6.7,7.6,7.4,7.3,7.6,7,7.4,7.3
5,5,5,7,5,5,5,5,5,3,5,5,5,5,5,4,4
14,14,13,20,15,13,12,11,10,12,11,10,6,6,6,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1
1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0
1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0
2,1,2,5,2,3,3,1,3,1,3,2,3,1,1,1,1
0.0263157895,0.0222222222,0.0263157895,0.0263157895,0.0227272727,0.0212765957,0.025,0.0263157895,0.0263157895,0.0277777778,0.0222222222,0.0263157895,0.0256410256,0.023255814,0.0277777778,0.0263157895,0.0222222222
0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.0357142857,0.037037037,0.037037037,0.037037037,0.0344827586,0.0344827586,0.037037037,0.037037037,0.0344827586,0.037037037,0.037037037,0.0344827586
0.0322580645,0.0357142857,0.0322580645,0.0322580645,0.0333333333,0.0294117647,0.0357142857,0.0322580645,0.0322580645,0.0322580645,0.0333333333,0.0322580645,0.0333333333,0.0333333333,0.0277777778,0.0322580645,0.0344827586
0.0079681275,0.0075075075,0.0066666667,0.0042194093,0.007800312,0.0057803468,0.0082169269,0.0076923077,0.0061349693,0.0079365079,0.0075757576,0.0066666667,0.0073529412,0.0075757576,0.0078740157,0.0066666667,0.0059171598
100,95,100,95,90,75,90,85,85,85,85,85,80,80,80,85,80
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,2,0,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1
1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
