Electric Cooktop Ranges
Samsung,Kenmore,Frigidaire FGEF3055MF,LG LRE3083,Frigidaire FGEF3030,Maytag MER8700,Amana AER5630,Whirlpool WFE510S0,Hotpoint
9.83,9.10,8.78,8.63,8.13,7.98,7.95,7.78,5.70
5,5,5,5,5,5,4,4,4
2,1,2,1,1,1,1,1,0
3000,3200,2700,3200,3000,3000,3000,3000,2000
3000,3000,3000,3200,3000,3000,3000,3000,0
12,12,12,9,9,9,9,9,0
1,1,1,1,1,1,0,0,0
1,1,0,0,0,0,0,0,0
5.9,6.1,6,6.3,5.7,6.2,4.8,4.8,5
2400,3500,3500,3400,3500,3500,2400,2400,2585
3800,4000,3900,4200,3600,3600,3400,3400,3410
2,3,2,3,2,2,2,2,2
7,7,7,7,6,7,5,5,6
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0
0.05,0.05,0.0083333333,0.05,0.0083333333,0.025,0.0047619048,0.0066666667,0.0055555556
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0
1,0,1,1,1,0,1,0,0
