Electric Cooktop
Electrolux,Bosch,GE,KitchenAid,Whirlpool Gold,Bosch 800,LG,Maytag,Kenmore,Frigidaire
9.73,9.68,9.35,9.15,8.95,8.75,8.53,8.23,7.60,6.98
0,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,0,0,0,0
15,17,11,10,10,17,9,5,9,9
3200,3080,3000,3000,3000,3100,3000,3000,3200,2500
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0
5,5,5,5,5,4,5,5,4,4
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,10,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
