Electric Fireplace
Napoleon,Touchstone,Moda Flame,Muskoka,Frigidaire,AKDY,Elite Flame,Classic Flame,Fire Sense,Southern Enterprises
9.70,9.38,9.33,9.20,9.13,8.83,8.75,8.50,7.88,7.70
2,2,2,10,2,2,2,2,2,2
400,400,400,400,400,400,400,400,130,400
5000,5118,5200,4777,5000,5200,5200,4600,4600,4400
1500,1500,1500,1400,1500,1500,1500,1500,1400,1400
36,24,36,36,36,36,24,36,36,36
1,1,1,2,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1
