Electric Hair Clippers
Andis Promotor Combo,Wahl Lithium Ion Pro Combo,Philips Norelco,Conair Home Haircut and Grooming Kit,Conair HC1100R,Wahl Haircut and Beard,Oster Fast Feed,Braun CruZer 6,Panasonic ER-GS60-,Oster Free Rider
9.45,9.35,8.33,8.28,8.15,8.10,7.98,7.85,7.70,7.50
95,90,95,80,80,70,85,75,80,70
0,100,60,0,75,40,0,40,50,0
1,0,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,1,1,1
27,28,5,25,20,23,9,4,6,12
8,14,3,10,10,12,3,2,2,4
16.6666666667,16.6666666667,1000,8.3333333333,8.3333333333,16.6666666667,16.6666666667,33.3333333333,33.3333333333,16.6666666667
1,1,0.6,1,1,0.5,0.5,0.8,0.4,0.5
1,1,1,1,1,1,0,1,0,0
1,1,0,1,1,1,1,0,0,1
1,1,0,1,1,1,0,0,0,0
1,1,0,1,1,1,0,0,0,0
1,1,0,1,1,0,1,0,0,1
1,1,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,1,1,0
0,0,1,0,0,1,0,1,1,0
5,5,2,5,3,5,1,2,2,1
1,1,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,1,0
