Electric Head Shavers
Skull Shaver Bald Eagle Smart,Philips Norelco Do-It-Yourself,Panasonic ES-LA63-,Skull Shaver Bald Eagle Essential,Panasonic ES-RT97-,Panasonic ES-RT77-,Wahl Custom Shave,Wahl Bump Free,Remington Short Cut Clippers
8.78,8.63,8.25,8.18,8.10,7.83,7.20,7.15,6.70
95,80,95,100,90,80,70,85,75
90,60,45,70,50,50,60,60,40
1,14,1,1,5,5,3,1,5
1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0,0
1,2,2,1,2,2,2,3,2
0.00625,0.0166666667,0.0166666667,0.0033333333,0.0166666667,0.0166666667,0.0027777778,0.0027777778,0.0011904762
0.125,0.0666666667,0.1428571429,0.125,0.1515151515,0.1666666667,0.0892857143,0.0694444444,0.125
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,0,0
0,1,1,0,1,1,1,1,1
1,1,1,0,0,0,1,0,0
0,2,0,0,1,1,3,0,2
1,1,1,1,0,0,1,1,0
0,0,0,0,1,0,0,0,0
