LASER PRINTER
Xerox ColorQube 8570dn,Xerox Phaser 3320,Brother HL-L8350CDW,Lexmark CS410dtn,Brother HL 3170cdw,HP LaserJet Pro M401dw,OKI B420dn,Dell B2375dfw,OKI Data C531dn,Samsung Printer Xpress C1810W
9.75,8.83,8.75,8.38,8.25,8.13,7.95,7.83,7.45,7.45
1440000,1440000,1440000,1440000,1440000,1440000,1440000,360000,720000,5760000
1440000,0,1440000,1440000,1440000,0,0,0,0,5760000
1,0,1,1,1,0,0,0,1,1
40,37,32,32,23,35,30,40,31,19
40,0,32,32,23,0,0,0,27,19
5,6.5,15,9,16,8,5.5,15.5,7.5,16
1,1,1,0,1,1,0,1,1,1
1,1,1,0,1,1,0,1,1,0
0,0,1,1,1,1,0,1,0,0
0,0,1,0,1,1,0,1,1,0
4300,5000,2500,1000,2500,2700,3500,3000,2500,3500
0.00952381,0.006134969,0.021276596,0.022222222,0.016949153,0.009615385,0.010869565,0.011111111,0.00952381,0.011363636
0.003968254,0.002380952,0,0.001724138,0.001515152,0.001754386,0.002222222,0.001515152,0.001851852,0.002631579
85,80,60,75,30,50,70,100,60,40
1,1,0,1,1,1,0,0,1,1
625,300,300,650,250,300,580,250,250,250
512,128,128,256,128,256,32,1000,256,256
2000,384,384,0,0,0,288,0,0,512
0.0625,0.069444444,0.062111801,0.057471264,0.062111801,0.069686411,0.068965517,0.054945055,0.062111801,0.060606061
0.068965517,0.068965517,0.052356021,0.060240964,0.054644809,0.069013112,0.064516129,0.053191489,0.050505051,0.05952381
0.048780488,0.099009901,0.081300813,0.06097561,0.106382979,0.093720712,0.085470085,0.060606061,0.105263158,0.096153846
0.013333333,0,0.021052632,0.018348624,0.025641026,0.041322314,0.041666667,0.027495188,0.020618557,0.022522523
1,1,1,1,1,1,5,1,5,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
