Electric Lawn Mowers
GreenWorks G-MAX 40V,EGO,Kobalt 40-Volt Cordless Mower,Ryobi 40-Volt Cordless Mower,Earthwise,WORX,Black & Decker,Sun Joe iON16LM,Stihl,Neuton CE6
8.25,9.33,8.58,8.28,8.13,7.68,7.45,7.40,7.28,6.88
90,45,70,40,55,40,60,40,40,55
0.5,1.4925373134,0.5,0.6666666667,0.5,0.5,0.0833333333,0.3333333333,2,0.0833333333
40,56,40,40,40,56,36,40,36,36
2,1,2,1,2,2,1,1,0,1
0.3333333333,0.3333333333,0.5,0.5,0.2,0.4761904762,0.0333333333,0.3846153846,0.2631578947,0.0434782609
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
20,21,20,16,20,19,19,16,14,19
5,6,7,5,6,7,7,6,5,4
0.72,0.666,0.72,0.8,0.666,0.8,0.666,0.85,0.888,0.83
3.375,4,3.375,3.5,4,4,3.5,3.15,2.75,3
1,1,1,1,1,0,1,1,1,1
0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0,1
0.0235294118,0.0172413793,0.0227272727,0.0238095238,0.0188679245,0.0169779287,0.0111111111,0.0268096515,0.0326797386,0.0144927536
1,1,1,1,0.1,0.1,1,1,1,1
7,6,7,5.75,7,7,7,6,5.9,8
10,9,10,7,9.5,10,9,8,7,10.5
0,1,0,0,1,1,0,0,0,0
4,5,5,5,2,3,2,2,2,2
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,1
0,0,1,1,0,0,1,0,1,0
0,0,0,1,0,0,1,0,1,1
