Electric Razors
Braun Series 7,Braun Series 5,Panasonic Arc4,Philips Norelco 8900,Panasonic Arc5,Philips Norelco 7700,Philips Norelco 7300,Braun Series 3,Remington Smart Edge,Remington Hyper Serie,Wahl
9.83,9.50,9.33,8.88,8.83,8.50,8.38,8.25,8.00,6.88,5.45
95,85,85,70,80,75,65,70,75,60,50
50,45,42,60,45,50,50,45,60,40,180
1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.6666666667,0.25,1
0.5,0.5,2.2727272727,0.8333333333,2.2727272727,0.5,0.5,0.5,0.9090909091,1.3333333333,1.0101010101
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,1,0,1,0
1,1,0,1,1,1,1,1,1,0,0
0.16,0.1538461538,0.4545454545,0.1612903226,0.1587301587,0.1388888889,0.1388888889,0.1666666667,0.1724137931,0.1724137931,0.0952380952
0.4,0.4,0.3703703704,0.8333333333,0.3571428571,0.4,0.4,0.4444444444,0.4,0.3333333333,0.1818181818
0.8,0.6666666667,0.1538461538,0.8333333333,0.5,0.4347826087,0.4347826087,0.4,0.4,0.3333333333,0.4
1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,0,0
2,2,2,2,2,2,2,2,2,2,5
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,1,1,1,1
0,0,1,1,1,1,1,0,0,0,0
