Electric String Trimmer
Black & Decker,Ryobi,Kobalt 40-Volt Max,Toro,WORX,Black & Decker GH900,GreenWorks 21212,GreenWorks 21142,Earthwise ST00015,Sun Joe TRJ609E
9.40,9.33,9.10,8.93,8.63,8.40,8.10,7.95,7.00,6.13
0.1282051282,0.1503759398,0.1333333333,0.1408450704,0.1298701299,0.1818181818,0.1923076923,0.101010101,0.1388888889,0.303030303
1,1,1,0,1,1,1,0,0,0
1,1,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1
0,0,5,0,0,6.5,4,10,6.25,3
40,18,0,40,40,0,0,0,0,0
25,40,0,45,27,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
13,12,14,12,13,14,13,18,15,9.45
1,1,2,2,1,1,2,2,2,1
1,1,1,1,1,1,0.5,1,1,0.5
3,3,2,5,3,2,4,4,2,2
1,1,1,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,1,1,1,0,1
