Electric Toothbrushes
Philips Sonicare FlexCare Platinum,Philips Sonicare DiamondClean,Philips Sonicare FlexCare Plu,Oral-B Precision Black 7000,Oral-B Pro SmartSeries 5000,Waterpik Complete Care,Health HP-STX,Philips Sonicare Essence 5600,Oral-B Deep Sweep 1000,Pursonic S500
9.35,9.13,9.03,8.80,8.73,8.40,8.33,8.23,7.98,7.80
9.0,8.0,9.5,8.5,9.5,9.0,7.5,7.5,6.5,6.0
9.0,9.5,7.0,7.0,8.0,7.0,7.3,8.0,7.0,8.0
9,9,9,10,8.5,9,7.5,8,7,5
0.2105263158,0.2105263158,0.2222222222,0.1739130435,0.1785714286,0.1481481481,0.2173913043,0.1587301587,0.2352941176,0.2325581395
21,21,21,10,10,7,14,14,7,14
2,2,1,3,1,2,10,1,1,12
1,1,1,1,1,0,0,0,0,1
1,1,1,0,0,1,1,1,1,1
1,0,0,0,1,0,0,0,1,0
1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,1,2,2,1
1,1,1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,0,0,1,0,0
1,1,0,1,1,1,1,1,1,1
