Electric Wall Double Ovens
Whirlpool,Maytag,Frigidaire,GE,KitchenAid,Electrolux,Viking 3 Series,Kenmore,LG,Bosch
9.35,8.83,8.30,8.20,8.10,7.83,7.73,7.45,7.38,7.08
2,2,1,0.5,0.5,1,1,0.5,1,0.5
5.0,5.0,4.6,5.0,5.0,4.8,4.3,4.6,4.7,4.6
2800,2800,2000,2850,2800,2000,4200,3400,2500,2400
5,5,6,4,4,3,3,5,5,4
4,1,3,1,1,1,3,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,1,1,1
0.3333333333,0.3333333333,0.5,0.3333333333,0.25,0.5,0.25,0.5,0.5,0.5
2,1,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
0,1,1,0,1,1,1,0,0,0
1,1,1,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,2,1,1,2
0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,0,0,0
1,10,1,1,1,3,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,0,0,1,0
