Electric Wheelchairs
Golden Compass Sport,Cirrus Plus HD,Drive Medical Titan X23,Pride Jazzy 600 E,KD Smart Chair,Invacare Pronto M51,Heartway Escape,Pride Jazzy Elite HD,CTM Homecare Compact Mid-Wheel,Golden LiteRider PTC
9.70,9.28,9.03,8.98,8.70,8.40,8.10,8.08,8.03,7.90
4.5,5,4,4,5,4,3.8,4,4,3.5
19.5,15,15,16.65,15,12,20,9.8,14.4,9.5
19.5,33,25,21,31.5,19.5,34,24,22.4,26
6,6,6,7.5,12,9,10,6,8,6
6,8,2.75,6,6,6,8,3,5,6
10,12.5,10,14,0,10.5,12.5,14,10,9
6,0,6,6,8,6,1.5,6,8,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,0,1,0,0,1,0,0,0
1,0,1,0,0,1,0,1,1,1
50,50,50,50,5,5,3,5,3,5
1.08,1.16,1.16,1.08,1,1,1,1.08,1.08,1.08
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0
