Elliptical Machines
ProForm Smart Strider,ProForm 1310 E,NordicTrack Elite,Schwinn 470,SOLE E95,Schwinn 430,SOLE E35,Diamondback 1260Ef,Nautilus E514c,Spirit XE 295
9.73,9.58,9.38,8.88,8.53,8.45,8.28,7.93,7.73,7.63
350,375,375,300,400,300,300,325,300,400
18,22,21,20,22,20,22,19,18,20
0.1,0.0909090909,0.0909090909,0.1,0.0714285714,0.1,0.0714285714,0.125,0.1,0
24,25,26,25,20,20,16,20,16,20
10,20,20,10,40,10,30,21,0,0
18,32,32,20,34,14,29,19,17.6,30
2,2,2,1,1,1,1,1.5,1,1
1,1,1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0
30,32,35,29,10,22,10,15,20,10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,2,0,2,0,0,0,0
1,1,1,4,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1
1,1,1,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,0,1,1,0,1,0,1,1,0
1,1,0,1,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0
50,50,50,10,50,10,50,50,10,50
3,5,5,2,5,2,5,3,2,10
1,2,2,0.25,5,0.25,2,1,0.25,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
