Espresso Machine
KRUPS Falcon,Nespresso Citiz,Philips Saeco Intuita,DeLonghi EC-155,Breville Infuser,Gaggia Classic,Espressione Cafe Minuetto,Cuisinart Buona Tazza,Philips Saeco Poemia,Mr. Coffee Cafe Espresso
9.73,8.88,8.85,8.55,8.03,7.73,7.60,7.33,6.98,5.18
100,80,90,90,70,90,90,80,80,60
90,90,90,100,90,100,80,60,70,70
151,134,137,156,128,152,123,130,134,102
15,19,15,15,15,15,15,19,15,15
2,1,2,2,2,2,2,1,2,2
1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,1,1,1,1
1,1,1,0,1,0,0,1,0,0
100,100,90,90,80,60,90,60,80,60
90,100,70,80,90,70,80,70,80,70
57,34,56,35,61,72,56,34,42,40
0.0124223602,0.0129701686,0.0146842878,0.0140646976,0.0125313283,0.0106609808,0.0141242938,0.0153139357,0.0156985871,0.015625
1,1,1,1,0,1,1,1,0,0
1,1,1,0,0,0,0,1,0,0
0,0,0,1,1,1,1,0,1,1
0,1,0,1,0,1,1,1,1,0
1,1,1,0,1,0,0,1,0,0
0,0,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,0,0,3,4,2,3,0,2,2
0,0,0,1,1,1,1,0,1,1
0,0,0,1,1,1,1,0,1,1
0.0092506938,0.0127877238,0.0098619329,0.0107296137,0.0077399381,0.0084317032,0.0107411386,0.0095147479,0.0098039216,0.0089928058
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,0,0
2,1,1,1,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
