Exercise Bike
Proform 8.0 EX,NordicTrac GX 4.4 Pro,Diamondback Fitness 510Sr,Diamondback Fitness 510Ub,Bladez Fitness U500i,HealthRider H35xr,Horizon Fitness Comfort U,Schwinn 250,Stamina Magnetic Fusion 7250,Kettler Polo M,Confidence Fitness X,Stamina 1350 Magnetic,Sunny Health & Fitness SF-B901
9.85,9.13,9.00,8.98,7.73,7.60,7.53,7.25,6.13,5.95,0.00,0.00,0.00
30,28,20,20,26,20,10,16,12,0,0,0,0
25,22,16,16,24,16,16,16,16,10,0,0,0
1,1,1,1,1,1,0,1,1,1,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,0,0,0
1,1,1,1,1,0,1,1,1,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0
2,2,3,3,1,0.25,1,0.25,0.25,3,0,0,0
1,1,1,1,1,0.25,1,0.25,0.25,3,0,0,0
50,50,50,50,50,5,50,5,5,50,0,0,0
1,1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0
